number,Ct,k,l,m,n
220,0.56,4,2,2,2
221,0.39,1,2,2,2
222,-0.28,24,1,3,1
223,-0.28,11,1,5,1
224,-0.38,6,2,6,1
225,0.38,15,2,2,1
226,0.38,6,6,6,1
227,0.27,8,1,2,1
228,-0.38,6,4,4,1
229,-0.27,5,6,1,1
230,-0.38,11,3,2,1
231,-0.37,5,3,4,1
232,0.37,6,1,6,2
233,0.18,35,1,3,1
234,-0.26,26,1,3,1
235,0.26,20,1,5,1
236,0.18,1,6,1,1
237,-0.26,1,1,2,2
238,0.26,7,1,1,2
239,-0.36,2,6,2,1
240,-0.36,3,2,1,3
241,-0.36,6,5,7,1
242,0.36,13,2,4,1
243,0.35,1,4,2,2
244,0.25,33,1,3,1
245,-0.24,9,3,1,1
246,0.49,4,2,2,3
247,0.24,1,1,3,3
248,-0.34,18,2,2,1
249,-0.24,1,4,2,1
250,-0.24,1,4,6,1
251,0.34,3,1,5,3
252,-0.34,5,2,5,1
253,0.34,8,4,3,1
254,-0.33,8,2,6,1
255,0.33,8,2,5,1
256,0.23,5,1,4,1
257,-0.33,10,5,3,1
258,0.33,2,7,4,1
259,0.33,4,3,6,1
260,0.23,18,1,5,1
261,0.32,5,4,5,1
262,0.46,4,3,2,3
263,-0.32,8,4,2,1
264,-0.23,6,1,5,1
265,0.23,21,1,5,1
266,0.32,5,2,1,2
267,0.23,2,2,1,1
268,0.32,5,7,4,1
269,0.32,5,5,5,1
270,-0.45,7,2,2,2
271,0.22,5,1,7,1
272,-0.31,4,1,3,2
273,0.44,9,2,2,2
274,0.44,5,2,6,2
275,0.31,4,4,4,1
276,-0.30,7,4,4,1
277,0.30,1,3,2,2
278,-0.30,5,1,2,3
279,-0.30,6,3,5,1
280,0.15,18,1,1,1
281,-0.30,2,1,2,2
282,-0.30,4,6,3,1
283,0.30,25,2,2,1
284,-0.21,7,2,1,1
285,-0.21,28,1,3,1
286,0.29,2,4,3,1
287,0.29,27,2,2,1
288,0.29,5,6,5,1
289,0.29,6,2,1,2
290,-0.20,30,1,3,1
291,0.29,9,2,3,1
292,0.29,2,1,2,3
293,-0.29,4,7,5,1
294,0.41,5,2,3,2
295,-0.28,6,1,5,2
296,0.28,6,7,6,1
297,0.28,4,3,5,1
298,0.20,26,1,2,1
299,0.28,23,2,2,1
300,-0.14,26,1,1,1
301,-0.28,3,7,3,1
302,-0.28,8,4,4,1
303,-0.19,9,5,1,1
304,0.27,31,2,2,1
305,0.27,6,7,5,1
306,-0.27,8,3,6,1
307,-0.19,1,3,5,1
308,0.19,28,1,2,1
309,0.19,24,1,2,1
310,-0.27,8,3,4,1
311,0.27,9,2,6,1
312,0.27,33,2,2,1
313,0.19,1,7,3,1
314,-0.19,4,5,1,1
315,0.26,12,4,3,1
316,-0.26,4,6,6,1
317,0.18,21,1,2,1
318,0.26,5,2,7,1
319,-0.26,3,2,1,2
320,0.26,15,2,4,1
321,0.18,30,1,2,1
322,0.18,25,1,2,1
323,-0.18,1,1,5,3
324,0.26,6,7,4,1
325,0.26,6,5,4,1
326,0.18,22,1,2,1
327,0.18,8,7,1,1
328,-0.26,7,4,7,1
329,-0.18,10,5,1,1
330,-0.26,5,7,3,1
331,0.36,10,2,2,2
332,-0.18,1,2,3,1
333,0.25,4,2,1,4
334,0.18,8,1,7,1
335,0.18,32,1,2,1
336,0.18,27,1,2,1
337,-0.25,2,2,1,3
338,-0.25,2,4,2,1
339,0.18,20,1,2,1
340,0.18,23,1,2,1
341,0.25,12,2,4,1
342,0.18,29,1,2,1
343,0.25,29,2,2,1
344,-0.25,3,6,5,1
345,-0.35,2,3,2,3
346,-0.35,5,2,2,3
347,0.18,31,1,2,1
348,0.18,34,1,2,1
349,-0.25,7,3,5,1
350,-0.25,9,5,3,1
351,0.17,33,1,2,1
352,0.25,6,3,8,1
353,-0.25,5,3,5,1
354,0.17,16,1,3,1
355,0.12,20,1,1,1
356,-0.24,3,4,2,1
357,0.17,17,1,5,1
358,-0.24,5,3,7,1
359,0.17,5,1,1,3
360,-0.24,5,4,6,1
361,0.34,5,2,8,2
362,-0.17,11,4,1,1
363,0.24,3,4,7,1
364,-0.17,8,3,1,1
365,-0.34,5,2,4,3
366,-0.24,8,5,2,1
367,-0.24,1,3,2,3
368,0.17,3,1,1,5
369,0.17,1,1,5,2
370,0.33,6,2,8,2
371,0.16,19,1,2,1
372,0.16,12,4,1,1
373,-0.23,4,1,5,5
374,-0.16,12,1,7,1
375,0.16,1,2,6,1
376,-0.23,2,5,7,1
377,-0.23,5,1,7,2
378,0.23,13,5,3,1
379,-0.23,4,1,2,5
380,-0.32,3,2,2,5
381,-0.23,5,4,7,1
382,0.23,12,3,4,1
383,0.23,5,6,4,1
384,0.23,3,1,2,2
385,-0.22,7,1,2,2
386,-0.22,8,5,4,1
387,-0.16,9,1,1,2
388,0.22,5,4,4,1
389,-0.22,1,4,2,3
390,-0.22,2,4,5,1
391,-0.16,1,3,4,1
392,0.22,16,3,2,1
393,-0.16,3,1,7,1
394,0.22,13,3,4,1
395,-0.31,3,3,2,2
396,0.22,7,7,3,1
397,-0.22,22,2,2,1
398,0.31,6,2,3,2
399,0.15,1,6,4,1
400,0.21,7,6,3,1
401,0.15,1,6,3,1
402,0.15,3,3,1,1
403,0.11,34,1,1,1
404,0.15,9,1,7,1
405,0.21,14,2,4,1
406,0.21,14,3,4,1
407,0.21,7,1,3,2
408,0.21,6,7,8,1
409,0.15,18,1,2,1
410,0.21,4,1,7,2
411,-0.21,10,1,3,2
412,0.15,9,2,1,1
413,-0.21,9,1,2,3
414,0.21,3,4,8,1
415,0.29,5,2,8,3
416,-0.29,4,2,2,5
417,0.20,3,3,7,1
418,-0.20,6,1,3,3
419,0.14,5,1,6,1
420,0.20,4,1,6,3
421,0.14,1,1,6,2
422,-0.14,1,1,7,3
423,0.14,26,1,4,1
424,0.28,7,2,6,2
425,-0.20,9,1,3,2
426,0.20,2,7,6,1
427,0.28,3,4,2,3
428,-0.14,1,1,3,2
429,0.28,4,7,2,2
430,-0.14,7,1,9,1
431,-0.20,1,2,6,2
432,0.20,4,1,5,2
433,-0.14,10,1,1,2
434,-0.28,4,3,6,3
435,-0.14,3,6,1,1
436,0.14,28,1,4,1
437,0.20,5,2,8,1
438,-0.20,3,3,6,1
439,0.14,27,1,4,1
440,0.14,1,2,5,1
441,-0.19,2,5,4,1
442,-0.14,3,2,1,1
443,-0.19,4,1,3,3
444,-0.19,24,2,2,1
445,-0.19,2,1,6,3
446,-0.27,6,2,7,2
447,-0.13,11,3,1,1
448,0.13,35,2,2,1
449,-0.27,3,2,2,4
450,-0.19,3,6,6,1
451,0.19,2,1,6,2
452,0.13,34,1,4,1
453,0.19,10,4,5,1
454,0.09,30,1,1,1
455,-0.19,9,5,2,1
456,0.13,2,1,1,3
457,-0.19,7,6,6,1
458,0.19,5,1,5,3
459,-0.19,4,2,1,2
460,-0.19,6,1,5,5
461,0.13,29,1,4,1
462,0.19,1,2,6,3
463,-0.26,5,2,4,2
464,0.19,5,6,6,1
465,0.13,31,1,3,1
466,-0.13,5,1,9,1
467,-0.13,13,1,7,1
468,0.18,8,7,3,1
469,0.26,4,2,10,5
470,-0.18,10,1,2,3
471,-0.18,9,5,5,1
472,0.18,6,6,4,1
473,0.09,16,1,1,1
474,0.18,7,7,2,1
475,-0.18,9,3,3,1
476,-0.26,4,2,6,2
477,0.18,7,1,6,2
478,-0.18,5,1,9,2
479,0.25,3,2,2,2
480,0.13,1,1,7,2
481,0.13,5,10,1,1
482,-0.25,4,2,2,4
483,0.13,33,1,4,1
484,0.09,35,1,2,1
485,0.13,25,1,4,1
486,0.18,4,1,8,3
487,-0.18,9,4,5,1
488,-0.12,32,1,3,1
489,-0.18,9,3,6,1
490,0.12,32,1,4,1
491,0.18,3,6,1,2
492,-0.17,8,7,4,1
493,0.17,10,2,5,1
494,0.12,30,1,4,1
495,0.12,20,1,4,1
496,0.12,6,6,1,1
497,0.12,24,1,4,1
498,0.17,4,7,3,1
499,-0.24,5,2,7,2
500,-0.17,3,1,3,2
501,-0.24,3,2,8,3
502,-0.17,9,6,3,1
503,0.12,22,1,5,1
504,0.17,6,4,1,3
505,0.17,8,4,5,1
506,0.17,10,1,3,3
507,0.17,5,1,8,2
508,0.17,15,3,4,1
509,-0.12,19,1,3,1
510,-0.17,7,1,7,2
511,0.17,10,2,6,1
512,0.17,10,1,7,2
513,-0.17,20,2,2,1
514,0.12,25,1,3,1
515,-0.17,7,1,5,2
516,0.12,21,1,4,1
517,0.12,19,1,4,1
518,0.12,1,6,5,1
