number,Cp,k,l,m,n
220,0.31,2,1,10,4
221,0.31,5,3,4,1
222,0.22,1,1,6,2
223,-0.31,3,1,9,5
224,0.22,9,1,5,1
225,-0.15,1,3,1,1
226,-0.22,7,5,1,1
227,0.31,2,7,4,1
228,0.22,1,7,5,1
229,0.30,5,7,4,1
230,-0.30,3,3,7,1
231,0.21,1,3,5,1
232,0.21,6,5,1,1
233,-0.30,2,6,3,1
234,-0.21,6,3,1,1
235,-0.42,3,4,10,5
236,0.21,1,1,7,3
237,-0.29,1,4,2,5
238,-0.41,3,3,10,4
239,0.29,3,1,9,2
240,-0.29,3,2,1,2
241,0.29,13,2,2,1
242,0.29,1,2,2,3
243,-0.28,9,5,3,1
244,-0.28,1,6,10,4
245,0.28,3,3,3,1
246,-0.28,6,1,2,5
247,-0.28,3,1,4,3
248,0.20,2,1,6,1
249,-0.28,2,5,4,1
250,0.28,4,2,1,3
251,-0.27,4,1,10,5
252,-0.27,3,1,9,3
253,0.27,10,3,2,1
254,-0.38,3,2,7,3
255,-0.27,4,1,9,3
256,-0.38,4,4,10,4
257,-0.19,10,4,1,1
258,0.27,1,2,10,4
259,-0.27,16,2,2,1
260,0.27,5,5,2,1
261,0.27,3,6,7,1
262,0.37,3,4,2,5
263,0.19,2,1,8,1
264,0.19,1,2,6,1
265,0.19,1,1,2,4
266,0.26,4,1,9,5
267,-0.26,2,1,3,2
268,-0.26,3,7,6,1
269,0.36,4,2,10,5
270,0.18,23,1,3,1
271,0.25,2,7,6,1
272,0.25,3,7,3,1
273,0.25,6,1,2,2
274,0.18,2,1,1,5
275,-0.36,4,7,9,5
276,-0.35,4,2,2,2
277,-0.25,1,2,9,4
278,-0.18,1,5,6,1
279,0.25,9,2,2,1
280,0.35,3,2,8,3
281,0.25,8,5,3,1
282,-0.25,3,4,4,1
283,0.17,1,1,9,3
284,0.25,3,1,6,3
285,-0.24,4,1,10,4
286,0.17,4,1,6,1
287,-0.35,3,6,10,5
288,0.34,4,3,2,2
289,-0.24,6,4,3,1
290,-0.17,6,1,1,3
291,0.12,15,1,1,1
292,0.24,4,1,3,2
293,0.24,5,6,3,1
294,0.24,2,7,2,1
295,0.24,3,3,1,2
296,0.33,2,2,2,2
297,0.33,2,7,9,5
298,-0.23,6,5,2,1
299,0.33,3,6,10,4
300,-0.23,5,6,4,1
301,0.16,1,2,1,4
302,0.23,4,5,2,1
303,0.23,2,1,3,5
304,0.16,1,6,7,1
305,-0.23,2,3,6,1
306,0.16,3,6,1,1
307,0.23,4,2,1,2
308,0.11,18,1,1,1
309,0.23,1,5,3,3
310,0.32,2,4,10,4
311,0.22,1,5,2,5
312,-0.22,3,1,2,4
313,0.32,2,2,4,5
314,-0.22,1,4,3,5
315,-0.16,1,1,3,5
316,-0.31,4,4,10,5
317,-0.31,6,2,2,5
318,-0.31,5,2,10,5
319,0.15,7,1,5,1
320,-0.22,10,4,3,1
321,-0.22,1,4,9,4
322,0.21,1,2,10,2
323,-0.21,5,5,7,1
324,-0.21,1,3,9,5
325,0.21,1,4,10,5
326,-0.30,3,4,9,5
327,0.15,3,1,7,1
328,-0.30,2,2,10,3
329,-0.15,14,1,3,1
330,0.21,8,3,2,1
331,-0.21,2,5,5,1
332,-0.15,12,1,5,1
333,0.15,10,5,1,1
334,0.21,1,2,3,4
335,-0.21,1,2,8,2
336,0.29,3,4,10,4
337,0.21,3,1,3,5
338,0.15,7,1,2,1
